  0.000000000000E+00  0.199379942010E+01  0.663446221284E+00  0.336115401347E-01
  0.100000000000E-01  0.199399519549E+01  0.663453921074E+00  0.336126391069E-01
  0.200000000000E-01  0.199419619327E+01  0.663461469827E+00  0.336137673573E-01
  0.300000000000E-01  0.199440196326E+01  0.663468866770E+00  0.336149223561E-01
  0.400000000000E-01  0.199461218687E+01  0.663476111166E+00  0.336161023122E-01
  0.500000000000E-01  0.199482661316E+01  0.663483202309E+00  0.336173058148E-01
  0.600000000000E-01  0.199504503100E+01  0.663490139521E+00  0.336185316764E-01
  0.700000000000E-01  0.199526725500E+01  0.663496922150E+00  0.336197788540E-01
  0.800000000000E-01  0.199549311768E+01  0.663503549566E+00  0.336210464053E-01
  0.900000000000E-01  0.199572246467E+01  0.663510021168E+00  0.336223334619E-01
  0.100000000000E+00  0.199595515167E+01  0.663516336375E+00  0.336236392117E-01
  0.110000000000E+00  0.199619104242E+01  0.663522494631E+00  0.336249628879E-01
  0.120000000000E+00  0.199643000726E+01  0.663528495406E+00  0.336263037610E-01
  0.130000000000E+00  0.199667192209E+01  0.663534338189E+00  0.336276611325E-01
  0.140000000000E+00  0.199691666761E+01  0.663540022497E+00  0.336290343311E-01
  0.150000000000E+00  0.199716412878E+01  0.663545547866E+00  0.336304227094E-01
  0.160000000000E+00  0.199741419430E+01  0.663550913858E+00  0.336318256413E-01
  0.170000000000E+00  0.199766675634E+01  0.663556120057E+00  0.336332425197E-01
  0.180000000000E+00  0.199792171017E+01  0.663561166068E+00  0.336346727557E-01
  0.190000000000E+00  0.199817895400E+01  0.663566051519E+00  0.336361157765E-01
  0.200000000000E+00  0.199843838874E+01  0.663570776061E+00  0.336375710245E-01
  0.210000000000E+00  0.199869991786E+01  0.663575339365E+00  0.336390379569E-01
